题目编号,来源类型,来源名称/年份/题号,节点编号,题型,是否闭卷,用时秒,得分,提示,错误类型,作答日期,批改日期,复测日期,备注
A-D2-Q1,自编,Day2-A卷,OS15,分页地址转换,,,1.5/2,,偏移从1开始计数,2026-09-18,2026-09-18,,已作答已批改；历史教学评分；未提前预测；闭卷和用时未确认
A-D2-Q2,自编,Day2-A卷,CO02,CPU时间与CPI,,,,,,,,,未作答
A-D2-Q3,自编,Day2-A卷,OS09,PV同步,,,,,,,,,未作答
A-D2-Q4,自编,Day2-A卷,CO14,Cache地址划分,,,,,,,,,未作答
A-D2-Q5,自编,Day2-A卷,CO05,补码运算,,,,,,,,,未作答
A-D2-N1,自编,Day2-A卷,CN02,时延计算,,,,,,,,,未作答
A-D2-N2,自编,Day2-A卷,CN14,IPv4子网,,,,,,,,,未作答
A-D2-D1,自编,Day2-A卷,DS03,数组覆盖写,,,,,,,,,未作答
D2-OFFSET,自编,Day2当前会话,OS15,偏移与序号,,,,,,2026-09-18,2026-09-18,,"讲解后回答99,100个；第2项应为101；不计跨天独立证据；无事前预测；批次见E04"
D2-PAGE-B1,自编,Day2当前会话,OS15,分页结构与容量,,,,,,2026-09-18,2026-09-18,,已提交；位数与页框数正确；2^8若指容量则数值正确，缺单位/表项数；无事前预测；批次见E04
D2-PAGE-B2,自编,Day2当前会话,OS15,两次地址转换,,,,,,2026-09-18,2026-09-18,,已提交；页号偏移正确；页表项位置与物理地址混用；最终漏偏移；无事前预测；批次见E04
D2-PAGE-B3,自编,Day2当前会话,OS15,跨页边界,,,,,,2026-09-18,2026-09-18,,"部分提交；0,1023正确，物理地址漏查页表；其余未交不计错；无事前预测；批次见E04"
D2-PAGE-B4,自编,Day2当前会话,OS15,未驻留页,,,,,,,,,未提交，不计错；无事前预测；批次见E04
