编号,学科,知识点,前置节点,验收能力,最小验收任务,常见陷阱,状态,证据编号,证据说明,下一步优先级,范围核验,实际作答日期,最近复测日期,下次复测日期,版本
DS01,数据结构,复杂度分析,—,从循环与递归求时间和辅助空间,解释连续倍增循环与嵌套独立循环的区别,循环层数不等于复杂度次数,R,E02,原对话总结报告初筛通过；未见跨天证据,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS02,数据结构,逻辑与存储结构,—,区分逻辑关系、存储方式与基本操作,同一线性表用顺序和链式存储如何改变操作代价,逻辑相邻不等于物理相邻,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS03,数据结构,顺序表与覆盖写,DS01 DS02,原地稳定删除指定元素并说明不变量,写删除所有 x 的算法并检查四类边界,边删边移动导致漏检,R,E02,删除思路可行；代码与边界尚未验证,近期,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS04,数据结构,单链表,DS02,独立完成插入删除逆置,画出删除首元结点与尾结点的指针变化,头指针、头结点、首元结点混淆,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS05,数据结构,双链表与循环链表,DS04,维护前驱后继和环形关系,在空表和仅一个结点时执行删除,遗漏相反方向链接更新,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS06,数据结构,链表综合算法,DS01 DS04,用快慢指针、归并或逆置解决问题,找倒数第 k 个结点并说明非法 k 的处理,循环退出时指针位置不明确,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS07,数据结构,栈,DS02,判断出栈序列并实现基本操作,给出不可实现序列的矛盾步骤,用最终集合代替操作过程,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS08,数据结构,队列与循环队列,DS02,按约定计算队长、判空和判满,采用牺牲一个存储单元时推导三个公式,不写 front/rear 指向和容量约定,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS09,数据结构,栈队列应用与递归,DS07 DS08,模拟表达式、括号匹配和递归栈,手算后缀表达式并分析递归空间,出栈两个操作数的左右顺序错,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS10,数据结构,数组与矩阵压缩,DS02,按行/列优先计算地址与映射,给定下界、元素宽度求二维数组地址,把元素序号当成字节偏移,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS11,数据结构,串与KMP,DS01 DS02,构建前缀信息并解释回退,给定 next 定义手算一次失配后的匹配,不同教材 next 下标约定混用,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS12,数据结构,树与二叉树性质,DS02,根据结点度数、边数和高度推理,由叶结点数和度数求结点关系,完全二叉树不等于满二叉树,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS13,数据结构,二叉树遍历与重构,DS07 DS08 DS12,手算遍历并判断重构条件,由中序与先序重构并给后序,只有先序和后序一般不唯一,R,E02,原对话总结报告遍历初筛通过；未见跨天证据,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS14,数据结构,线索二叉树,DS13,区分孩子链接与前驱后继线索,中序线索化后找指定结点后继,忽视标志位,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
DS15,数据结构,树与森林,DS12 DS13,在孩子兄弟表示与森林之间转换,把两棵树转为二叉树并对应遍历,把右兄弟当右孩子解释,U,,未取得该节点的独立作答证据；不等于不会,按诊断安排,工作地图；待目标年份官方大纲逐项对齐,,,,v1.1
