题目ID,任务ID,题面版本,节点,作答条件,事前正确概率p,预测信心,预测依据,预测冻结标记,实际首答结果,完整正确指标y,得分,排除校准原因,证据编号,记录日期
A-D2-Q1,D2-01,历史会话版本,OS15,历史条件；是否闭卷未确认,,,,,已完整作答；部分正确,0,1.5/2,未事前预测；不补写p,E04,2026-09-18
D2-OFFSET,D2-01,历史会话版本,OS15,历史条件；是否闭卷未确认,,,,,讲解后作答；部分正确,0,,未事前预测；不补写p,E04,2026-09-18
D2-PAGE-B1,D2-01,历史会话版本,OS15,历史条件；是否闭卷未确认,,,,,提交不完整；部分可判,,,未事前预测；不补写p,E04,2026-09-18
D2-PAGE-B2,D2-01,历史会话版本,OS15,历史条件；是否闭卷未确认,,,,,已完整作答；部分正确,0,,未事前预测；不补写p,E04,2026-09-18
D2-PAGE-B3,D2-01,历史会话版本,OS15,历史条件；是否闭卷未确认,,,,,部分提交,,,未事前预测；不补写p,E04,2026-09-18
D2-PAGE-B4,D2-01,历史会话版本,OS15,历史条件；是否闭卷未确认,,,,,未作答,,,未事前预测；不补写p,E04,2026-09-18
D2-PAGE-P1,D2-01,Day2成组题-v1.1（作答前消歧；p不变）,OS15,P1/P2允许回看方法表,0.70,中,刚完成完整讲解；允许回看方法表；页号/偏移拆分已有正确证据,2026-09-18 本轮发题时公开p，未收到作答；题面见Day02-剩余题组.md,,,,,,2026-09-18
D2-PAGE-P2,D2-01,Day2成组题-v1.1（作答前消歧；p不变）,OS15,P1/P2允许回看方法表,0.55,中,同一块变式；页表项地址与目标物理地址刚出现混淆,2026-09-18 本轮发题时公开p，未收到作答；题面见Day02-剩余题组.md,,,,,,2026-09-18
D2-CO-C1,D2-02,Day2成组题-v1.1（作答前消歧；p不变）,CO02,无提示,0.60,中,Day1公式有初步证据；无提示变式,2026-09-18 本轮发题时公开p，未收到作答；题面见Day02-剩余题组.md,,,,,,2026-09-18
D2-CO-C2,D2-02,Day2成组题-v1.1（作答前消歧；p不变）,CO14,无提示,0.45,低,Cache位数和2的幂是已知易错点；无提示变式,2026-09-18 本轮发题时公开p，未收到作答；题面见Day02-剩余题组.md,,,,,,2026-09-18
D2-OS-C3,D2-02,Day2成组题-v1.1（作答前消歧；p不变）,OS09,无提示,0.55,中,Day1有顺序初步证据；本题8/5计数条件与旧题重复，检验保持与完整表达，不算新数字迁移,2026-09-18 本轮发题时公开p，未收到作答；题面见Day02-剩余题组.md,,,,,,2026-09-18
D2-CO-C4,D2-02,Day2成组题-v1.1（作答前消歧；p不变）,CO05,无提示,0.60,中,补码已纠错；尚无Day2变式,2026-09-18 本轮发题时公开p，未收到作答；题面见Day02-剩余题组.md,,,,,,2026-09-18
